meteorite type,meteorite,section (mm^2),CAI or chondrule?,CAI #,area (um^2),mm^2,width (um),height (um),apparent radius (um)
EH3,ALHA 77295,135.84,CAI,1,2566.12,0.00256612,62.77,65.85,28.58008686
EH3,ALHA 77295,,CAI,6,2777.85,0.00277785,78.48,88.32,29.73578849
EH3,ALHA 77295,,CAI,4,4393.11,0.00439311,80,89.48,37.39479033
EH3,ALHA 77295,,CAI,3,7233.15,0.00723315,130.69,93.27,47.98315489
EH3,ALHA 77295,,CAI,10,410.6,0.0004106,26,22.5,11.43232432
EH3,ALHA 77295,,CAI,11,1234.1,0.0012341,43.4,39.6,19.81984436
EL4,DaG 734,71.81,,haven't searched,NaN,,,,#VALUE!
EL3,EET 90992,38.65,CAI,b,3192.2,0.0031922,115.52,103.23,31.87646183
EL3,EET 90992,,Chondrule,a,NaN,,,,#VALUE!
OL3.2,GunlockA ,212.8,,no inclusions,NaN,,,,#VALUE!
OL3.2,GunlockC,194.12,,no inclusions,NaN,,,,#VALUE!
OL3.6,Julesburg,54.49,,haven't searched,NaN,,,,#VALUE!
OL3.6,Julesburg,,chondrule,a,554948.58,0.55494858,764.67,960.74,420.2923023
OL3.6,Julesburg,,chondrule,b,35426.76,0.03542676,213.33,433.33,106.1917508
OL3.6,Julesburg,,chondrule,c,15023.25,0.01502325,200.92,131.65,69.15236075
EH3,MAC 88136,68.3,CAI,6,2330.75,0.00233075,62,56.5,27.23785541
EH3,MAC 88136,,CAI,7,6570.83,0.00657083,105.67,86.21,45.73357792
EH3,MAC 88136,,Chondrule,1,2743.15,0.00274315,72.84,59.19,29.54947993
EH3,MAC 88136,,Chondrule,2,15135.68,0.01513568,171.28,152.03,69.41063736
OLL3,Mojave,,,,NaN,,,,#VALUE!
OL3.7,NWA 092,98.15,CAI,5,3210,0.00321,79.14,77.38,31.96521132
OL3.7,NWA 092,,Chondrule,1,164622.74,0.16462274,518.34,467.46,228.9127468
OLL3.6,NWA 094 ,13.24,,no CAIs,NaN,,,,#VALUE!
OLL3,NWA 1096,67.73,Chondrule,b,65661.98,0.06566198,351.08,335.12,144.5712882
OLL3,NWA 1096,,Chondrule,c,66505.99,0.06650599,356.24,394.53,145.4974711
OLL3.6,NWA 2195,183.69,CAI,c,58921.68,0.05892168,326.36,339.14,136.9501853
OLL3.6,NWA 2195,,CAI,e,100846.21,0.10084621,,,179.1656932
OLL3.6,NWA 2195,,Chondrule,b (spinel grain),2938.29,0.00293829,66.52,64.62,30.5824583
